id,PostTitleWordsNumber,PostTitleCharsNumber,DiffNoWordsPostTitleAndKeywords,DiffNoCharsPostTitleAndKeywords,RatioNoWordsArticleDescriptionAndPostTitle,QuestionMarksNoPostTitle,RatioNoCharArticleParagraphPostTitle,RatioNoCharArticleDescriptionPostTitle,RatioNoCharArticleTitlePostTitle,RatioNoWordsArticleTitlePostTitle,RatioNoWordsPostImagePostTitle,DiffCharsPostTitlePostImage,RatioCharPostImagePostTitle,FormalWordsPostTitle,RatioNoCharArticleParagraphArticleDescription
858462320779026433,12,79,5,23,3.0833333333333335,0,0.35443037974683544,3.0632911392405062,1.5063291139240507,1.4166666666666667,0.0,79,0.0,13,0.11570247933884298
858421020331560960,3,12,5,144,11.0,0,1.6666666666666667,18.083333333333332,7.333333333333333,4.333333333333333,0.0,12,0.0,3,0.09216589861751152
858368123753435136,15,89,7,63,1.8,0,0.23595505617977527,1.6741573033707866,1.0,1.0,0.0,89,0.0,14,0.14093959731543623
858323428260139008,7,36,1,9,2.2857142857142856,0,0.3333333333333333,2.25,2.1944444444444446,2.2857142857142856,0.0,36,0.0,7,0.14814814814814814
858283602626347008,16,92,9,49,1.9375,0,0.2391304347826087,1.923913043478261,1.0,1.0,0.0,92,0.0,15,0.12429378531073447
858224473597779969,6,38,6,38,2.6666666666666665,0,0.3684210526315789,3.0789473684210527,1.4473684210526316,1.3333333333333333,0.0,38,0.0,6,0.11965811965811966
858222698367000577,10,62,6,8,2.0,0,0.5645161290322581,2.096774193548387,1.0161290322580645,1.0,0.0,62,0.0,10,0.2692307692307692
858191667739987968,13,87,8,30,1.0769230769230769,0,0.1839080459770115,0.8735632183908046,0.8735632183908046,1.0769230769230769,0.0,87,0.0,13,0.21052631578947367
858153570478305281,13,68,4,30,1.0,0,0.25,1.1323529411764706,0.6029411764705882,0.6923076923076923,0.10294117647058823,61,0.10294117647058823,11,0.22077922077922077
858150052782645249,9,60,9,60,3.7777777777777777,0,0.13333333333333333,3.6333333333333333,1.0166666666666666,1.0,0.0,60,0.0,8,0.03669724770642202
858137808657108992,10,47,10,47,1.9,0,1.1914893617021276,2.5319148936170213,1.1702127659574468,1.1,0.0,47,0.0,10,0.47058823529411764
858069152451354625,16,75,13,41,2.0625,0,2.2933333333333334,2.44,0.7733333333333333,0.75,0.0,75,0.0,13,0.9398907103825137
858048368974733312,19,106,15,44,0.7368421052631579,0,0.2830188679245283,0.8962264150943396,0.9339622641509434,0.7894736842105263,0.0,106,0.0,18,0.3157894736842105
858033549995376641,15,89,9,19,0.6666666666666666,0,0.12359550561797752,0.8202247191011236,0.797752808988764,0.8,0.0,89,0.0,14,0.1506849315068493
858025529429065729,18,116,7,41,0.2777777777777778,0,0.08620689655172414,0.25862068965517243,1.7672413793103448,1.9444444444444444,0.0,116,0.0,14,0.3333333333333333
857977494275846144,11,57,5,19,2.0,0,0.7719298245614035,1.9298245614035088,1.0,1.0,0.0,57,0.0,9,0.4
857970008269496320,12,95,8,57,1.6666666666666667,0,0.12631578947368421,1.263157894736842,0.7789473684210526,0.8333333333333334,0.0,95,0.0,8,0.1
857924202548088832,13,95,6,52,1.3076923076923077,0,0.22105263157894736,1.1894736842105262,1.0,1.0,0.0,95,0.0,13,0.18584070796460178
857902230321725440,13,92,13,92,1.0769230769230769,0,0.391304347826087,0.8043478260869565,0.5,0.6153846153846154,0.0,92,0.0,11,0.4864864864864865
857883874663120898,11,82,11,82,3.727272727272727,0,0.2926829268292683,2.975609756097561,1.0121951219512195,1.0,0.0,82,0.0,11,0.09836065573770492
857818691471380481,19,111,12,61,1.5263157894736843,0,0.2702702702702703,1.4864864864864864,0.6216216216216216,0.5789473684210527,0.0,111,0.0,19,0.18181818181818182
857681002516422659,17,90,17,90,1.3529411764705883,0,0.12222222222222222,1.488888888888889,1.1,1.0588235294117647,0.0,90,0.0,16,0.08208955223880597
857659646663962625,17,97,11,21,0.5294117647058824,0,0.27835051546391754,0.4948453608247423,0.6597938144329897,0.6470588235294118,0.0,97,0.0,15,0.5625
857647119347310592,12,63,12,63,-1.0,0,0.09523809523809523,-1.0,1.0,1.0,0.38095238095238093,39,0.38095238095238093,11,-1.0
857588029095071746,13,81,11,5,3.1538461538461537,0,0.2716049382716049,2.8518518518518516,0.7160493827160493,0.7692307692307693,0.0,81,0.0,12,0.09523809523809523
857308127879864320,7,48,7,48,-1.0,0,0.14583333333333334,-1.0,1.0,1.0,0.0,48,0.0,7,-1.0
857543708828467200,15,94,12,16,2.1333333333333333,0,0.4574468085106383,1.9042553191489362,0.8404255319148937,0.8,0.0,94,0.0,14,0.24022346368715083
857542381406760960,6,40,6,40,1.5,0,0.125,1.45,1.475,1.3333333333333333,0.0,40,0.0,5,0.08620689655172414
857497306077302785,18,115,16,85,1.5,0,0.11304347826086956,1.2956521739130435,0.5130434782608696,0.5,0.0,115,0.0,20,0.087248322147651
857478936611225600,11,57,0,85,1.6363636363636365,1,0.7543859649122807,2.2982456140350878,0.8947368421052632,0.9090909090909091,0.0,57,0.0,9,0.3282442748091603
857417141758435328,10,69,3,3,2.0,0,0.3333333333333333,1.9420289855072463,0.9710144927536232,1.0,0.0,69,0.0,8,0.17164179104477612
857416781736157184,12,77,2,77,1.8333333333333333,0,0.15584415584415584,2.0,0.6883116883116883,0.6666666666666666,0.0,77,0.0,11,0.07792207792207792
857403369601761281,9,74,9,74,2.2222222222222223,0,0.013513513513513514,1.7702702702702702,1.0945945945945945,1.1111111111111112,0.0,74,0.0,5,0.007633587786259542
857402094935920640,16,87,16,87,0.5,0,0.05747126436781609,0.5402298850574713,1.0,1.0,0.0,87,0.0,16,0.10638297872340426
857366516186173440,12,78,4,12,1.9166666666666667,0,0.15384615384615385,1.6666666666666667,1.0,1.0,0.0,78,0.0,12,0.09230769230769231
857320960063655936,11,65,11,65,1.5454545454545454,0,0.38461538461538464,1.5384615384615385,1.0,1.0,0.0,65,0.0,11,0.25
857308304263053314,15,84,15,84,1.6666666666666667,0,0.13095238095238096,1.8452380952380953,0.8214285714285714,0.8666666666666667,0.0,84,0.0,15,0.07096774193548387
857293449191579648,4,26,4,26,9.75,0,0.9230769230769231,9.73076923076923,3.0,3.0,0.3076923076923077,18,0.3076923076923077,3,0.09486166007905138
857258494491332609,2,18,2,18,6.0,0,2.2222222222222223,4.166666666666667,3.5,4.5,0.0,18,0.0,3,0.5333333333333333
857258385086873600,14,75,7,23,1.7857142857142858,0,0.09333333333333334,2.12,1.04,0.9285714285714286,0.0,75,0.0,14,0.0440251572327044
857240627121201153,16,88,6,23,-1.0,0,0.045454545454545456,-1.0,1.0909090909090908,1.0625,0.0,88,0.0,12,-1.0
857247617318834184,11,79,7,28,0.9090909090909091,0,0.34177215189873417,0.7721518987341772,0.9113924050632911,0.9090909090909091,0.0,79,0.0,8,0.4426229508196721
857139702989824003,21,116,16,60,0.5714285714285714,0,0.1810344827586207,0.7327586206896551,0.853448275862069,0.8571428571428571,0.0,116,0.0,19,0.24705882352941178
857068231936364544,2,16,5,56,19.0,0,1.125,13.125,4.5625,7.0,0.0,16,0.0,1,0.08571428571428572
857046842374103040,14,87,14,87,2.142857142857143,0,0.2988505747126437,2.310344827586207,0.8275862068965517,0.8571428571428571,0.0,87,0.0,14,0.12935323383084577
856986260447125505,3,22,3,70,5.0,0,0.7272727272727273,3.590909090909091,3.590909090909091,5.0,0.0,22,0.0,3,0.20253164556962025
856946536961396736,12,73,12,73,2.0833333333333335,0,0.1917808219178082,2.219178082191781,1.0136986301369864,1.0,0.3424657534246575,48,0.3424657534246575,11,0.08641975308641975
